Code,SELHIS,Available
FFM2600001,ICB23-0484-9765SBR-9718SBR-16392SBR,142
FFM2600002,ICB23-0484-9756SBR-9703SBR-16317SBR,126
FFM2600003,ICB23-0484-9755SBR-9702SBR-16301SBR,164
FFM2600004,ICB23-0484-9759SBR-9710SBR-16343SBR,54
FFM2600005,ICB23-0484-9763SBR-9715SBR-16372SBR,104
FFM2600006,ICB23-0484-9758SBR-9706SBR-16336SBR,150
FFM2600007,ICB23-0484-9755SBR-9702SBR-16308SBR,166
FFM2600008,ICB23-0484-9760SBR-9714SBR-16363SBR,179
FFM2600009,ICB23-0484-9756SBR-9704SBR-16330SBR,247
FFM2600010,ICB23-0484-9763SBR-9716SBR-16381SBR,163
FFM2600011,ICB23-0484-9752SBR-9699SBR-16296SBR,154
FFM2600012,ICB23-0484-9755SBR-9702SBR-16302SBR,139
FFM2600013,ICB23-0484-9755SBR-9702SBR-16306SBR,150
FFM2600014,ICB23-0485-9767SBR-9723SBR-16409SBR,67
FFM2600015,ICB23-0485-9767SBR-9723SBR-16411SBR,114
FFM2600016,ICB23-0485-9768SBR-9730SBR-16423SBR,105
FFM2600017,ICB23-0485-9767SBR-9723SBR-16410SBR,150
FFM2600018,ICB23-0485-9767SBR-9729SBR-16421SBR,92
FFM2600019,ICB23-0485-9769SBR-9738SBR-16440SBR,47
FFM2600020,ICB23-0485-9767SBR-9729SBR-16420SBR,85
FFM2600021,ICB23-0485-9767SBR-9726SBR-16415SBR,104
FFM2600022,ICB23-0485-9769SBR-9737SBR-16437SBR,114
FFM2600023,ICB23-0485-9767SBR-9725SBR-16414SBR,97
FFM2600024,ICB23-0485-9767SBR-9729SBR-16422SBR,58
FFM2600025,ICB23-0264-9197SBR-9183SBR-9781SBR,82
FFM2600026,ICB23-0264-9187SBR-9175SBR-9744SBR,65
FFM2600027,ICB23-0264-9197SBR-9183SBR-9787SBR,76
FFM2600028,ICB23-0264-9197SBR-9183SBR-9782SBR,70
FFM2600029,ICB23-0264-9187SBR-9175SBR-9739SBR,74
FFM2600030,ICB23-0264-9197SBR-9183SBR-9786SBR,65
FFM2600031,ICB23-0264-9181SBR-9165SBR-9694SBR,65
FFM2600032,ICB23-0264-9187SBR-9173SBR-9725SBR,38
FFM2600033,ICB23-0264-9183SBR-9166SBR-9698SBR,54
FFM2600034,ICB23-0264-9187SBR-9174SBR-9735SBR,70
FFM2600035,ICB23-0495-9975SBR-9882SBR-16579SBR,85
FFM2600036,ICB23-0495-9975SBR-9882SBR-16586SBR,147
FFM2600037,ICB23-0496-9980SBR-9897SBR-16617SBR,65
FFM2600038,ICB23-0496-9980SBR-9897SBR-16616SBR,88
FFM2600039,ICB23-0496-9980SBR-9897SBR-16618SBR,70
FFM2600040,ICB23-0496-9979SBR-9895SBR-16608SBR,104
FFM2600041,ICB23-0496-9979SBR-9896SBR-16611SBR,56
FFM2600042,ICB23-0496-9979SBR-9895SBR-16604SBR,36
FFM2600043,ICB23-0496-9979SBR-9895SBR-16605SBR,85
FFM2600044,ICB23-0496-9979SBR-9895SBR-16602SBR,106
FFM2600045,ICB23-0496-9979SBR-9895SBR-16601SBR,110
FFM2600046,ICB23-0496-9980SBR-9897SBR-16621SBR,87
